shop_id,name,website,myshopify_domain,categories,commission,cookie,payout_rate,payout_period,approval_rate,offer_score,recommend_score,avg_order_value,application_review,offer_status,program_id,mkp_listing_id,apply_url,hashtags,shop_plan
25284,726 Market,https://www.726market.com,726-market.myshopify.com,"Books, Mom & Kids, Computers & Office",15% per order,30,No data yet,,3.23%,0.75,0.75,,manual,2,27171,2871,https://af.uppromote.com/726-market/register,[],Free
252852,757 Sports Collectibles,https://www.757sc.com,757-sports-collectiblesa.myshopify.com,"Apparel & Accessories, Toys & Games, Sporting Goods",10% per order,30,No data yet,Paid Out on the 15th or every $250.,84.88%,1.7,2.04,62,manual,2,295964,38057,https://af.uppromote.com/757-sports-collectiblesa/register,"[""#sports"", ""#nfl"", ""#mlb"", ""#nba"", ""#nhl"", ""#ncaa"", ""#sportscollectibles"", ""#retail"", ""#commission""]",growth_affiliate
107641,79Bike,https://79bike.com,456145.myshopify.com,"Sports & Entertainment, Garden & Outdoors, Automobiles & Motorcycles",2% per order,30,0%,,6.02%,2.48,3.57,2786.2,manual,2,122263,25359,https://af.uppromote.com/456145/register,"[""""]",Professional
147362,7Kouture,https://7kouture.com,7kouture.myshopify.com,"Fashion, Jewelry & Accessories",10%-20% per order,30,100%,,95.65%,1.25,1.45,47.3,manual,2,167324,30593,https://af.uppromote.com/7kouture/register,"[""#fashion"", ""#swimwear"", ""#shoes""]",Free
208564,8849 Official Website,https://8849tech.com/,2u6txq-86.myshopify.com,"Electronics, Phone & Telecommunication, Computers & Office",2% per order,14,79.61%,30 days,70.23%,3.5,4.69,736.3,manual,2,240041,36778,https://af.uppromote.com/8849tech/register,"[""#phone#ruggedphone#projectorphone"", ""#ruggedtablet""]",growth_affiliate
194686,888,https://888studiouk.com,31bcf2-73.myshopify.com,"Sports & Entertainment, Fashion",15% per order,30,No data yet,,7.69%,0.7,0.77,65.55,manual,2,221973,34391,https://af.uppromote.com/31bcf2-73/register,"[""#f1"", ""#formula1"", ""#jackets"", ""#racing"", ""#ferrari"", ""#MotorRacingJackets"", ""#PremiumOuterwear"", ""#AffiliateLife"", ""#EarnWith888studio"", ""#JacketLovers"", ""#gifts""]",Free
273472,88Prints,https://88prints.co.uk,x1tibv-za.myshopify.com,Toys & Games,10% per order,30,20.93%,Last day of each month,70%,,,80.2,manual,2,323574,39828,https://af.uppromote.com/x1tibv-za/register,"[""""]",Professional
148479,92 Fashion Shop ,https://92fashionshop.com,92-fashion-shop-online.myshopify.com,Fashion,10% per order,30,No data yet,,1.41%,1.5699999999999998,1.68,43.05,manual,2,168599,30069,https://af.uppromote.com/92-fashion-shop-online/register,"[""""]",Free
202783,945industries,https://945industries.com,eb6a95-dc.myshopify.com,"Wellness & Lifestyle, Garden & Outdoors, Retail & Consumer goods",7% per order,90,87.69%,"Payments are made weekly from Monday to Tuesday, covering the week from two weeks ago.",76.44%,4.55,7.87,163.1,manual,2,232551,35204,https://af.uppromote.com/eb6a95-dc/register,"[""#carrybag"", ""#ccw"", ""#ccwgear"", ""#concealedcarry"", ""#edc"", ""#edcaccessories"", ""#edcbag"", ""#edcgear"", ""#edcslingbag"", ""#everydaycarry"", ""#slingbag"", ""#tacticalbag"", ""#tacticaledc"", ""#tacticalgear"", ""#traveledc"", ""#urbancarry"", ""#urbanedc"", ""#urbantactical""]",Enterprise
69405,9caars,https://9caars.com,9caars.myshopify.com,Automobiles & Motorcycles,12% per order,30,No data yet,,7.69%,0.72,,44,manual,2,79010,16524,https://af.uppromote.com/9caars/register,[],Free
11671,9º 80º Sauces & Marinade,https://980gourmetsauce-marinade.myshopify.com,980gourmetsauce-marinade.myshopify.com,Grocery & Food,10% per order,30,No data yet,,10.2%,0.77,0.77,81.3,manual,2,12601,758,https://af.uppromote.com/980gourmetsauce-marinade/register,[],Free
60386,A Bar Above,https://shop.abarabove.com/,abaraboveshop.myshopify.com,"Others, Home & Tools",10% per order,100,99.27%,1st Of each month.,91.49%,3.7199999999999998,4.91,78.4,manual,2,68076,33684,https://af.uppromote.com/abarabove/register,"[""""]",Professional
37222,A Barbz Kloset ,https://www.abarbzkloset.com,gtbs1050.myshopify.com,"Fashion, Jewelry & Accessories, Beauty & Health",10% per order,30,No data yet,,30.77%,,,,manual,2,40792,19409,https://af.uppromote.com/Abarbzkloset/register,[],Free
